,Airline,Date,Source,Destination,Departure Time,Arrival Time,Flight Duration,Price,Stops
0,Air Asia,04-May,New Delhi,Mumbai,13:00,14:50,1h 50m,"7,319",Non Stop
1,IndiGo,04-May,New Delhi,Mumbai,11:55,13:55,2h 00m,"7,319",Non Stop
2,IndiGo,04-May,New Delhi,Mumbai,10:45,12:50,2h 05m,"7,319",Non Stop
3,IndiGo,04-May,New Delhi,Mumbai,17:00,19:05,2h 05m,"7,319",Non Stop
4,IndiGo,04-May,New Delhi,Mumbai,23:35,"01:40
+ 1 day",2h 05m,"7,319",Non Stop
5,IndiGo,04-May,New Delhi,Mumbai,2:00,4:10,2h 10m,"7,319",Non Stop
6,Air Asia,04-May,New Delhi,Mumbai,4:25,6:35,2h 10m,"7,319",Non Stop
7,Go First,04-May,New Delhi,Mumbai,6:00,8:10,2h 10m,"7,319",Non Stop
8,Go First,04-May,New Delhi,Mumbai,14:00,16:10,2h 10m,"7,319",Non Stop
9,IndiGo,04-May,New Delhi,Mumbai,14:10,16:20,2h 10m,"7,319",Non Stop
10,IndiGo,04-May,New Delhi,Mumbai,15:25,17:35,2h 10m,"7,319",Non Stop
11,IndiGo,04-May,New Delhi,Mumbai,16:15,18:25,2h 10m,"7,319",Non Stop
12,IndiGo,04-May,New Delhi,Mumbai,19:45,21:55,2h 10m,"7,319",Non Stop
13,Go First,04-May,New Delhi,Mumbai,20:00,22:10,2h 10m,"7,319",Non Stop
14,Go First,04-May,New Delhi,Mumbai,12:30,14:45,2h 15m,"7,319",Non Stop
15,Go First,04-May,New Delhi,Mumbai,15:45,18:00,2h 15m,"7,319",Non Stop
16,Go First,04-May,New Delhi,Mumbai,18:40,20:55,2h 15m,"7,319",Non Stop
17,SpiceJet,04-May,New Delhi,Mumbai,18:55,21:10,2h 15m,"7,319",Non Stop
18,SpiceJet,04-May,New Delhi,Mumbai,19:45,22:00,2h 15m,"7,319",Non Stop
19,SpiceJet,04-May,New Delhi,Mumbai,21:40,23:55,2h 15m,"7,319",Non Stop
20,Go First,04-May,New Delhi,Mumbai,22:45,"01:00
+ 1 day",2h 15m,"7,319",Non Stop
21,IndiGo,04-May,New Delhi,Mumbai,21:45,"00:10
+ 1 day",2h 25m,"7,319",Non Stop
22,Go First,04-May,New Delhi,Mumbai,20:50,23:20,2h 30m,"7,319",Non Stop
23,Go First,04-May,New Delhi,Mumbai,16:45,21:10,4h 25m,"7,319",1 Stop
24,Go First,04-May,New Delhi,Mumbai,20:05,"02:00
+ 1 day",5h 55m,"7,319",1 Stop
25,Go First,04-May,New Delhi,Mumbai,10:30,17:15,6h 45m,"7,319",2 Stop(s)
26,Go First,04-May,New Delhi,Mumbai,9:00,15:55,6h 55m,"7,319",1 Stop
27,SpiceJet,04-May,New Delhi,Mumbai,18:25,"01:20
+ 1 day",6h 55m,"7,319",1 Stop
28,Go First,04-May,New Delhi,Mumbai,10:30,18:10,7h 40m,"7,319",2 Stop(s)
29,SpiceJet,04-May,New Delhi,Mumbai,20:00,"10:30
+ 1 day",14h 30m,"7,319",1 Stop
30,Air India,04-May,New Delhi,Mumbai,8:00,10:10,2h 10m,"7,320",Non Stop
31,Vistara,04-May,New Delhi,Mumbai,12:50,15:00,2h 10m,"7,320",Non Stop
32,Vistara,04-May,New Delhi,Mumbai,14:20,16:30,2h 10m,"7,320",Non Stop
33,Vistara,04-May,New Delhi,Mumbai,15:30,17:40,2h 10m,"7,320",Non Stop
34,Air India,04-May,New Delhi,Mumbai,20:00,22:10,2h 10m,"7,320",Non Stop
35,Air India,04-May,New Delhi,Mumbai,14:00,16:15,2h 15m,"7,320",Non Stop
36,Air India,04-May,New Delhi,Mumbai,19:00,21:15,2h 15m,"7,320",Non Stop
37,Vistara,04-May,New Delhi,Mumbai,11:40,14:00,2h 20m,"7,320",Non Stop
38,Vistara,04-May,New Delhi,Mumbai,16:45,19:05,2h 20m,"7,320",Non Stop
39,Air India,04-May,New Delhi,Mumbai,21:15,23:35,2h 20m,"7,320",Non Stop
40,Air India,04-May,New Delhi,Mumbai,10:10,12:35,2h 25m,"7,320",Non Stop
41,Air India,04-May,New Delhi,Mumbai,14:50,18:15,3h 25m,"7,320",1 Stop
42,Air India,04-May,New Delhi,Mumbai,17:50,21:35,3h 45m,"7,320",1 Stop
43,IndiGo,04-May,New Delhi,Mumbai,8:45,11:00,2h 15m,"7,529",Non Stop
44,IndiGo,04-May,New Delhi,Mumbai,18:10,20:25,2h 15m,"7,529",Non Stop
45,IndiGo,04-May,New Delhi,Mumbai,9:35,12:00,2h 25m,"7,529",Non Stop
46,IndiGo,04-May,New Delhi,Mumbai,6:30,8:35,2h 05m,"7,739",Non Stop
47,SpiceJet,04-May,New Delhi,Mumbai,7:20,9:35,2h 15m,"7,739",Non Stop
48,Vistara,04-May,New Delhi,Mumbai,9:30,11:35,2h 05m,"7,845",Non Stop
49,IndiGo,04-May,New Delhi,Mumbai,8:00,10:20,2h 20m,"8,369",Non Stop
50,Vistara,04-May,New Delhi,Mumbai,17:45,20:05,2h 20m,"8,370",Non Stop
51,Air Asia,04-May,New Delhi,Mumbai,12:50,19:15,6h 25m,"8,371",1 Stop
52,Air Asia,04-May,New Delhi,Mumbai,12:50,23:45,10h 55m,"8,371",1 Stop
53,Air Asia,04-May,New Delhi,Mumbai,8:10,21:20,13h 10m,"8,371",1 Stop
54,Vistara,04-May,New Delhi,Mumbai,10:20,12:35,2h 15m,"8,895",Non Stop
55,Air Asia,04-May,New Delhi,Mumbai,9:35,"00:20
+ 1 day",14h 45m,"9,210",1 Stop
56,IndiGo,04-May,New Delhi,Mumbai,7:20,9:25,2h 05m,"9,419",Non Stop
57,Vistara,04-May,New Delhi,Mumbai,21:30,23:30,2h 00m,"9,420",Non Stop
58,IndiGo,04-May,New Delhi,Mumbai,9:50,15:45,5h 55m,"9,944",1 Stop
59,IndiGo,04-May,New Delhi,Mumbai,5:05,13:20,8h 15m,"9,944",1 Stop
60,IndiGo,04-May,New Delhi,Mumbai,5:05,15:45,10h 40m,"9,944",1 Stop
61,Vistara,04-May,New Delhi,Mumbai,20:40,22:50,2h 10m,"9,945",Non Stop
62,Vistara,04-May,New Delhi,Mumbai,18:55,21:15,2h 20m,"10,260",Non Stop
63,IndiGo,04-May,New Delhi,Mumbai,8:40,15:55,7h 15m,"10,364",1 Stop
64,IndiGo,04-May,New Delhi,Mumbai,13:00,21:50,8h 50m,"10,364",1 Stop
65,IndiGo,04-May,New Delhi,Mumbai,21:05,"07:10
+ 1 day",10h 05m,"10,364",1 Stop
66,Air Asia,04-May,New Delhi,Mumbai,9:35,21:20,11h 45m,"10,576",1 Stop
67,IndiGo,04-May,New Delhi,Mumbai,7:20,15:55,8h 35m,"10,784",1 Stop
68,IndiGo,04-May,New Delhi,Mumbai,20:55,"07:25
+ 1 day",10h 30m,"10,837",1 Stop
69,IndiGo,04-May,New Delhi,Mumbai,22:15,"05:30
+ 1 day",7h 15m,"10,889",1 Stop
70,IndiGo,04-May,New Delhi,Mumbai,19:35,"05:30
+ 1 day",9h 55m,"10,889",1 Stop
71,IndiGo,04-May,New Delhi,Mumbai,20:55,"07:25
+ 1 day",10h 30m,"10,889",1 Stop
72,Vistara,04-May,New Delhi,Mumbai,19:45,21:55,2h 10m,"10,995",Non Stop
73,Vistara,04-May,New Delhi,Mumbai,7:30,9:45,2h 15m,"10,995",Non Stop
74,Air Asia,04-May,New Delhi,Mumbai,10:40,19:15,8h 35m,"10,996",1 Stop
75,Air Asia,04-May,New Delhi,Mumbai,10:40,23:45,13h 05m,"10,996",1 Stop
76,Air Asia,04-May,New Delhi,Mumbai,5:10,19:15,14h 05m,"10,996",1 Stop
77,IndiGo,04-May,New Delhi,Mumbai,14:45,"00:05
+ 1 day",9h 20m,"11,047",1 Stop
78,IndiGo,04-May,New Delhi,Mumbai,22:15,"08:00
+ 1 day",9h 45m,"11,204",1 Stop
79,IndiGo,04-May,New Delhi,Mumbai,11:15,16:55,5h 40m,"11,519",1 Stop
80,Vistara,04-May,New Delhi,Mumbai,17:10,"11:30
+ 1 day",18h 20m,"11,520",1 Stop
81,Air India,04-May,New Delhi,Mumbai,22:00,"08:05
+ 1 day",10h 05m,"11,625",1 Stop
82,Air India,04-May,New Delhi,Mumbai,22:00,"16:35
+ 1 day",18h 35m,"11,625",1 Stop
83,Air India,04-May,New Delhi,Mumbai,22:00,"00:35
+ 2 days",26h 35m,"11,625",1 Stop
84,IndiGo,04-May,New Delhi,Mumbai,5:15,13:15,8h 00m,"11,729",1 Stop
85,IndiGo,04-May,New Delhi,Mumbai,9:50,20:25,10h 35m,"11,834",1 Stop
86,Vistara,04-May,New Delhi,Mumbai,7:05,14:30,7h 25m,"12,045",1 Stop
87,Air India,04-May,New Delhi,Mumbai,7:10,23:50,16h 40m,"12,045",1 Stop
88,Vistara,04-May,New Delhi,Mumbai,7:05,"08:40
+ 1 day",25h 35m,"12,045",1 Stop
89,Vistara,04-May,New Delhi,Mumbai,7:05,"10:00
+ 1 day",26h 55m,"12,045",1 Stop
90,IndiGo,04-May,New Delhi,Mumbai,17:50,22:10,4h 20m,"12,307",1 Stop
91,Air India,04-May,New Delhi,Mumbai,10:45,"00:35
+ 1 day",13h 50m,"12,360",1 Stop
92,Air India,04-May,New Delhi,Mumbai,10:45,"08:05
+ 1 day",21h 20m,"12,360",1 Stop
93,Vistara,04-May,New Delhi,Mumbai,20:35,"08:40
+ 1 day",12h 05m,"12,570",1 Stop
94,Vistara,04-May,New Delhi,Mumbai,20:35,"10:00
+ 1 day",13h 25m,"12,570",1 Stop
95,Vistara,04-May,New Delhi,Mumbai,14:45,"08:40
+ 1 day",17h 55m,"12,570",1 Stop
96,Vistara,04-May,New Delhi,Mumbai,14:45,"10:00
+ 1 day",19h 15m,"12,570",1 Stop
97,IndiGo,04-May,New Delhi,Mumbai,5:45,12:50,7h 05m,"12,622",1 Stop
98,Vistara,04-May,New Delhi,Mumbai,18:40,"14:45
+ 1 day",20h 05m,"12,675",1 Stop
99,Air India,04-May,New Delhi,Mumbai,18:30,"16:25
+ 1 day",21h 55m,"12,885",1 Stop
100,Air India,04-May,New Delhi,Mumbai,12:50,19:15,6h 25m,"12,957",1 Stop
101,IndiGo,04-May,New Delhi,Mumbai,19:35,"00:40
+ 1 day",5h 05m,"12,989",1 Stop
102,Vistara,04-May,New Delhi,Mumbai,13:40,"11:30
+ 1 day",21h 50m,"12,990",1 Stop
103,Vistara,04-May,New Delhi,Mumbai,17:35,"08:40
+ 1 day",15h 05m,"13,095",1 Stop
104,Vistara,04-May,New Delhi,Mumbai,17:35,"10:00
+ 1 day",16h 25m,"13,095",1 Stop
105,Vistara,04-May,New Delhi,Mumbai,10:25,"08:40
+ 1 day",22h 15m,"13,095",1 Stop
106,Vistara,04-May,New Delhi,Mumbai,10:25,"10:00
+ 1 day",23h 35m,"13,095",1 Stop
107,Go First,04-May,New Delhi,Mumbai,12:50,20:15,7h 25m,"13,197",1 Stop
108,Air India,04-May,New Delhi,Mumbai,16:50,23:50,7h 00m,"13,305",1 Stop
109,Vistara,04-May,New Delhi,Mumbai,20:35,"14:30
+ 1 day",17h 55m,"13,305",1 Stop
110,Vistara,04-May,New Delhi,Mumbai,14:45,"14:30
+ 1 day",23h 45m,"13,305",1 Stop
111,Air India,04-May,New Delhi,Mumbai,21:30,"23:50
+ 1 day",26h 20m,"13,305",1 Stop
112,IndiGo,04-May,New Delhi,Mumbai,5:20,10:35,5h 15m,"13,409",1 Stop
113,IndiGo,04-May,New Delhi,Mumbai,17:20,"00:40
+ 1 day",7h 20m,"13,462",1 Stop
114,Air India,04-May,New Delhi,Mumbai,21:15,"11:35
+ 1 day",14h 20m,"13,475",1 Stop
115,Vistara,04-May,New Delhi,Mumbai,11:10,"14:45
+ 1 day",27h 35m,"13,515",1 Stop
116,IndiGo,04-May,New Delhi,Mumbai,17:00,"00:05
+ 1 day",7h 05m,"13,567",1 Stop
117,Vistara,04-May,New Delhi,Mumbai,13:20,18:20,5h 00m,"13,725",1 Stop
118,Vistara,04-May,New Delhi,Mumbai,13:20,"16:00
+ 1 day",26h 40m,"13,935",1 Stop
119,Air India,04-May,New Delhi,Mumbai,21:15,"08:35
+ 1 day",11h 20m,"14,040",1 Stop
120,Air India,04-May,New Delhi,Mumbai,21:15,"10:35
+ 1 day",13h 20m,"14,040",1 Stop
121,Air India,04-May,New Delhi,Mumbai,15:00,"16:25
+ 1 day",25h 25m,"14,250",1 Stop
122,Go First,04-May,New Delhi,Mumbai,9:25,17:15,7h 50m,"14,548",1 Stop
123,Go First,04-May,New Delhi,Mumbai,9:25,18:10,8h 45m,"14,548",1 Stop
124,SpiceJet,04-May,New Delhi,Mumbai,11:55,18:50,6h 55m,"14,564",1 Stop
125,Air India,04-May,New Delhi,Mumbai,6:10,21:05,14h 55m,"14,565",1 Stop
126,SpiceJet,04-May,New Delhi,Mumbai,9:50,16:10,6h 20m,"14,607",1 Stop
127,SpiceJet,04-May,New Delhi,Mumbai,6:25,13:35,7h 10m,"14,607",1 Stop
128,SpiceJet,04-May,New Delhi,Mumbai,6:25,16:10,9h 45m,"14,607",1 Stop
129,Vistara,04-May,New Delhi,Mumbai,17:35,23:25,5h 50m,"15,090",1 Stop
130,Vistara,04-May,New Delhi,Mumbai,17:30,23:30,6h 00m,"15,090",1 Stop
131,Vistara,04-May,New Delhi,Mumbai,15:55,23:30,7h 35m,"15,090",1 Stop
132,Vistara,04-May,New Delhi,Mumbai,20:30,"13:00
+ 1 day",16h 30m,"15,090",1 Stop
133,SpiceJet,04-May,New Delhi,Mumbai,9:25,16:10,6h 45m,"15,133",1 Stop
134,Vistara,04-May,New Delhi,Mumbai,14:10,19:00,4h 50m,"15,143",1 Stop
135,IndiGo,04-May,New Delhi,Mumbai,10:10,17:25,7h 15m,"15,352",1 Stop
136,Vistara,04-May,New Delhi,Mumbai,20:40,"08:15
+ 1 day",11h 35m,"15,405",1 Stop
137,Vistara,04-May,New Delhi,Mumbai,6:00,8:00,2h 00m,"15,720",Non Stop
138,Vistara,04-May,New Delhi,Mumbai,8:50,11:10,2h 20m,"15,720",Non Stop
139,Air India,04-May,New Delhi,Mumbai,9:45,21:05,11h 20m,"15,930",1 Stop
140,Vistara,04-May,New Delhi,Mumbai,9:05,20:15,11h 10m,"16,035",1 Stop
141,Vistara,04-May,New Delhi,Mumbai,6:15,13:00,6h 45m,"16,140",1 Stop
142,Vistara,04-May,New Delhi,Mumbai,6:15,20:20,14h 05m,"16,140",1 Stop
143,Vistara,04-May,New Delhi,Mumbai,6:15,23:30,17h 15m,"16,140",1 Stop
144,Go First,04-May,New Delhi,Mumbai,5:20,11:30,6h 10m,"16,228",1 Stop
145,Air India,04-May,New Delhi,Mumbai,12:20,17:05,4h 45m,"16,245",1 Stop
146,IndiGo,04-May,New Delhi,Mumbai,7:20,13:45,6h 25m,"16,349",1 Stop
147,Vistara,04-May,New Delhi,Mumbai,11:45,23:25,11h 40m,"16,350",1 Stop
148,Go First,04-May,New Delhi,Mumbai,10:40,18:40,8h 00m,"16,454",1 Stop
149,Vistara,04-May,New Delhi,Mumbai,19:50,"08:15
+ 1 day",12h 25m,"16,455",1 Stop
150,Vistara,04-May,New Delhi,Mumbai,9:05,20:45,11h 40m,"16,560",1 Stop
151,Vistara,04-May,New Delhi,Mumbai,11:45,20:15,8h 30m,"16,875",1 Stop
152,Vistara,04-May,New Delhi,Mumbai,11:45,21:50,10h 05m,"16,875",1 Stop
153,SpiceJet,04-May,New Delhi,Mumbai,6:15,14:30,8h 15m,"16,932",1 Stop
154,SpiceJet,04-May,New Delhi,Mumbai,6:15,19:25,13h 10m,"16,932",1 Stop
155,Air Asia,05-May,New Delhi,Mumbai,10:30,19:00,8h 30m,"16,980",1 Stop
156,IndiGo,05-May,New Delhi,Mumbai,14:15,23:25,9h 10m,"16,980",1 Stop
157,IndiGo,05-May,New Delhi,Mumbai,10:20,"01:05
+ 1 day",14h 45m,"17,337",1 Stop
158,IndiGo,05-May,New Delhi,Mumbai,10:15,15:40,5h 25m,"17,400",1 Stop
159,IndiGo,05-May,New Delhi,Mumbai,11:45,20:45,9h 00m,"17,400",1 Stop
160,IndiGo,05-May,New Delhi,Mumbai,14:55,"05:15
+ 1 day",14h 20m,"17,452",1 Stop
161,IndiGo,05-May,New Delhi,Mumbai,14:15,20:15,6h 00m,"17,505",1 Stop
162,Air Asia,05-May,New Delhi,Mumbai,14:15,21:50,7h 35m,"17,505",1 Stop
163,Go First,05-May,New Delhi,Mumbai,4:45,9:50,5h 05m,"17,714",1 Stop
164,Go First,05-May,New Delhi,Mumbai,11:30,18:10,6h 40m,"19,526",1 Stop
165,IndiGo,05-May,New Delhi,Mumbai,13:00,14:50,1h 50m,"7,319",Non Stop
166,IndiGo,05-May,New Delhi,Mumbai,11:55,13:55,2h 00m,"7,319",Non Stop
167,IndiGo,05-May,New Delhi,Mumbai,6:30,8:35,2h 05m,"7,319",Non Stop
168,Go First,05-May,New Delhi,Mumbai,7:20,9:25,2h 05m,"7,319",Non Stop
169,SpiceJet,05-May,New Delhi,Mumbai,10:45,12:50,2h 05m,"7,319",Non Stop
170,IndiGo,05-May,New Delhi,Mumbai,17:00,19:05,2h 05m,"7,319",Non Stop
171,Go First,05-May,New Delhi,Mumbai,2:00,4:10,2h 10m,"7,319",Non Stop
172,Go First,05-May,New Delhi,Mumbai,4:25,6:35,2h 10m,"7,319",Non Stop
173,IndiGo,05-May,New Delhi,Mumbai,6:00,8:10,2h 10m,"7,319",Non Stop
